id;geom;geom_text;u;v;key;osmid;lanes;name;highway;oneway;reversed;length;maxspeed;speed_kph
237217;x1;LINESTRING(14.5081882 50.1105192,14.5082963 50.1105206,14.5095097 50.1105279,14.5096134 50.1105274,14.5098674 50.1105184);240459775;1564214256;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237317;x1;LINESTRING(14.5841207 50.1472533,14.5821419 50.1459517);240831482;241778726;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237446;x1;LINESTRING(14.5609269 50.1328712,14.5610514 50.1328503,14.5611149 50.1328396,14.5612436 50.1328345,14.5613791 50.1328393,14.5615898 50.1328787,14.5618422 50.1329607,14.5622518 50.1331022,14.5629642 50.133184,14.5641267 50.1332132,14.5647061 50.1332279,14.5652373 50.1332726);241780809;241780833;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
237461;x1;LINESTRING(14.5310622 50.0761232,14.5308862 50.0761916,14.5306053 50.0762902,14.5303755 50.076368,14.5300527 50.0764726,14.5298135 50.0765438,14.5295801 50.0766112,14.5293492 50.0766745,14.52912 50.0767338,14.5288775 50.0767928,14.5286458 50.0768459,14.5283995 50.0768997,14.5281664 50.0769468,14.5279243 50.0769915,14.5277787 50.0770179,14.5275518 50.0770566,14.5273096 50.0770951,14.5270606 50.0771312,14.5268124 50.0771629,14.526569 50.0771925,14.5264365 50.0772067);242761105;2047978511;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
237731;x1;LINESTRING(14.3552269 49.9823783,14.3547158 49.9822919,14.3544739 49.982225,14.3536953 49.9819941,14.3534913 49.9819336);243273214;1143340750;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237806;x1;LINESTRING(14.3501856 50.0469628,14.3504312 50.0471004,14.3508845 50.0473767,14.3514325 50.047802,14.3522449 50.0484983,14.352338 50.048583,14.3526201 50.0488376,14.3526477 50.0488608,14.3526799 50.0488928,14.3528303 50.0490107);243297918;21678247;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
238052;x1;LINESTRING(14.6045649 50.0297531,14.6039678 50.0296236);243518635;1284006139;x5;x6;x7;x8;secondary;x10;x11;x12;40;40
238054;x1;LINESTRING(14.6045649 50.0297531,14.6048155 50.0298151,14.6050334 50.0298734);243518635;7080854;x5;x6;x7;x8;secondary;x10;x11;x12;40;40
238432;x1;LINESTRING(14.3422789 50.0523383,14.3411331 50.0522274,14.3408493 50.0522873,14.3405562 50.0524828);243899836;2520741749;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;30;30
238440;x1;LINESTRING(14.3423909 50.0546463,14.3425047 50.0546562);243899846;1139718227;x5;x6;x7;x8;primary;x10;x11;x12;0;62
