WKT;osmid;y;x
x;172512;50.0769;14.4042
x;172513;50.0788;14.4042
x;172514;50.0794;14.4047
x;172517;50.0812;14.4061
x;172535;50.0665;14.3272
x;247746;50.0773;14.4248
x;247749;50.0861;14.4144
x;247751;50.0887;14.4156
x;247753;50.0926;14.4093
x;247757;50.0976;14.4075
x;247759;50.095;14.4087
x;247773;50.0983;14.4415
x;247775;50.105;14.4433
x;247776;50.0932;14.427
x;249170;50.1256;14.6163
x;249750;50.1065;14.5438
x;249762;50.1057;14.535
x;249840;50.1099;14.533
x;249879;50.1186;14.5175
x;249905;50.1091;14.5379
x;249906;50.1088;14.5435
x;250224;50.1188;14.503
x;250646;50.1133;14.2874
x;250816;50.0972;14.3548
x;250821;50.099;14.37
x;250861;50.1003;14.3922
x;250862;50.1004;14.3948
x;251237;50.106;14.5571
x;251239;50.1072;14.5656
x;251240;50.1063;14.5667
x;251242;50.1047;14.5621
x;251244;50.1066;14.5671
x;251504;50.079;14.3444
x;251813;50.1055;14.5629
x;251855;50.1057;14.5633
x;251918;50.1078;14.5694
x;251960;50.101;14.3957
x;251962;50.1007;14.396
x;251964;50.1002;14.3951
x;251966;50.103;14.3953
x;251967;50.1007;14.3971
x;251973;50.1008;14.4002
x;251974;50.1003;14.4025
x;251975;50.1001;14.4042
x;251977;50.0995;14.4072
x;251982;50.1013;14.4097
x;251983;50.1024;14.4111
x;251986;50.1028;14.414
x;252003;50.0077;14.6519
x;252028;50.0519;14.5671
x;252035;50.0713;14.5395
x;252059;50.0494;14.2784
x;252082;50.0903;14.5434
x;252084;50.0879;14.5551
x;252085;50.0876;14.5605
x;252114;50.1599;14.4805
x;260801;50.1103;14.5687
x;260802;50.111;14.5744
x;260803;50.1095;14.569
x;260804;50.1092;14.567
x;260805;50.11;14.5668
x;260807;50.1238;14.567
x;260808;50.126;14.5682
x;260819;50.1401;14.5757
x;260822;50.1346;14.5761
x;260823;50.1395;14.615
x;260828;50.1458;14.625
x;260831;50.1417;14.6295
x;260842;50.16;14.6125
x;483388;50.0391;14.5882
x;483391;50.1062;14.5746
x;483402;50.1026;14.555
x;483403;50.1059;14.5562
x;483406;50.1015;14.5543
x;483407;50.102;14.5546
x;483409;50.1003;14.5543
x;483414;50.1072;14.5734
x;483415;50.1078;14.574
x;483424;50.0942;14.5469
x;483434;50.0712;14.5372
x;514903;50.1098;14.5748
x;514905;50.1083;14.5673
x;683497;50.0432;14.439
x;683502;50.0466;14.4546
x;683504;50.0451;14.4577
x;683508;50.0404;14.4696
x;683514;50.0397;14.4817
x;683519;50.0408;14.4846
x;683528;50.0325;14.5018
x;683530;50.0311;14.5063
x;683531;50.0308;14.5067
x;683533;50.0308;14.5075
x;683534;50.0309;14.5076
x;683542;50.0324;14.52
x;683551;50.0348;14.5312
x;683552;50.0354;14.5317
x;683554;50.0366;14.5318
x;683587;50.06;14.4467
x;683589;50.0593;14.4477
x;683593;50.058;14.4435
x;683594;50.0572;14.443
x;683595;50.0561;14.4424
x;683598;50.0552;14.4432
x;683599;50.0547;14.4427
x;683600;50.0543;14.4425
x;683605;50.0519;14.4392
x;683612;50.0489;14.4349
x;683618;50.0486;14.4298
x;683642;50.0451;14.4305
x;683651;50.0435;14.4371
x;683652;50.0433;14.4381
x;683661;50.0451;14.4487
x;683662;50.0465;14.4496
x;683665;50.0478;14.4533
x;683668;50.0486;14.4597
x;683669;50.049;14.4594
x;683672;50.0506;14.4587
x;683678;50.0519;14.4541
